identity,question,a འདི་ཡང་,b,c,d,correct_ answer
hsc-botany-12-1,སྲོག་ཆགས་ཚིགས་ཕྲན་འདི་ནང་ལུ་ སྲོག་ཆགས་ཚིགས་ཕྲན་འདི་ནང་ལུ་ སྲོག་ཆགས་ཚིགས་ཕྲན་འདི་ ག་ཅི་འབད་དོ་ཡོདཔ་ཨིན་ན?,རའི་བོ་ཟོམ་,རྦ་ག་འཁྱུ་མི་ཚུ་,ལའི་སོམས,Endoplasmic reticulum འདི་ཡང་མཐའ་མཇུག་གི་པགས་ཚལ་གྱི་ ཕྲ་རིང་འདི་ཨིན།,a
hsc-botany-12-2,ས་སྒོ་འདི་ནང་གི་ ས་སྒོ་ཐིག་ཁྲམ་ལུ་ཡོད་པའི་ ས་སྒོ་ཐིག་ཁྲམ་དེ་ ག་ཅི་སྦེ་སླབ་ནི་ཨིན་ན?,ཧའི་ལོཔ་ཟམ་,ཨེག་ཏོ་པཱལ་ཟམ་,ཨེན་ཌོ་པཱལ་ཟམ་,ཐོ་ནོ་པཱལ་ཛམ་,d
hsc-botany-12-3,ཨིང་ལིཤ་གི་ཡིག་འབྲུ་ག་འདི་ སབ་མེ་ཊ་སེནཊི་རེཊ་ཀོརོ་མོ་ཟོམས (sub metacentric chromosome) གི་ས་སྒོ་ནང་ལུ་ ཨན་ཕ་ཇ་ (anaphase) གི་ས་སྒོ་ནང་ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,T,ཇ་,L,V,c
hsc-botany-12-4,ཌི་ཨེན་ཨའི་ (DNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (DNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་,ཡིག་ཐོག་ལུ་བྲིས་ནུག,སྐད་སྒྱུར་འབད་,འགྱུར་བཅོས་,དབྱེ་སེལ་འབདཝ་ཨིན།,b
hsc-botany-12-5,"stimulusལུ་སླབ་མི་ 'B' འདི་ག་དེ་སྦེ་སླབ་ནི་?""",i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii,དང་ iii",b
hsc-botany-12-6,ཌི་ཨེན་ཨའི་ (DNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (DNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་ ཌི་ཨེན་ཨའི་ (RNA) ཟེར་མི་གིས་,ཀ་རི་ཨོ་ཀི་ནེས་སི་,མེ་ཊ་ཀི་ནེས་སི་,ནང་འཁོད་ལས་བྱུང་བའི་ལཱ་,སི་ཊོ་ཀི་ནེས་སི་,c
hsc-botany-12-7,"བྱ་རིམ་ ""A"" འདི་མཇུག་བསྡུ་ནིའི་དོན་ལུ་ བསྐུལ་བསྒྲགས་འབད་དགོཔ་ཨིན།",མེ་ག་སོརཔོ་རོལི,ཕྲ་རགས་ཆུང་ཆུང་ཚུ་,ཨིསི་ཊོ་བི་ལཱསི་,ཀོ་རཱལ་ཨེ་ཌ་གི་རྩ་བ་,a
hsc-botany-12-8,i. RNA བཟོ་སྦྱོར་འབད་ཐངས་,ནད་ཡམས་ཀོ་བིཌ་,ནད་གཞི་འདི་ ནད་གཞི་ངོ་མ་ཅིག་ཨིན་མས།,ཆུ་རུད་,དཀོན་གཉེར་,c
hsc-botany-12-9,༢། མཉམ་འབྲེལ་ཅན་གྱི་ ལི་པིཌི་,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii,དང་ iii",a
hsc-botany-12-10,གསུམ་པ་ DNA བཟོ་བཀོད་,ཀེར་ཐིག་,གཟུགས་ཀྱི་མཐའ་མཇུག་གི་པགས་པ་,ཨེ་པི་བཱལ་མཱམ་,པེ་རི་སིག་ལཱལ་,c
